"x"
"1" "Utilizzi il sito aziendale regolamente (almeno 1vv al giorno)?"
"2" "Indipendentemente dalla frequenza di utilizzo quali settori ti interessano?"
"3" "Il sito è una presentazione sufficiente e fedele di IZSLER?"
"4" "ti piace l'aspetto grafico del sito IZSLER?"
"5" "Le strutture sanitarie e gli uffici amministrativi sono bene descritti?"
"6" "I servizi che IZSLER può fornire chiari?"
"7" "Le informazioni sono facili da trovare?"
"8" "Sono presenti informazioni inutili?"
"9" "Sono presenti informazioni sbagliate?"
"10" "Vuoi dare qualche consiglio o segnalare qualche errore presente nel sito?"
"11" "RITIENI CHE  LA COMUNICAZIONE INTERNA TRA PERSONE E TRA STRUTTURE  SIA UNO DEGLI ARGOMENTI DA AFFRONTARE?"
"12" "Ritieni di conoscere a sufficienza le attività dell’IZSLER e quanto viene svolto dai colleghi delle diverse strutture?"
"13" "Sei disposto ad una intervista sulla tua attività (routine, progetti, pubblicazioni etc) con la tua equipe di lavoro e permetterne la diffusione all'interno di IZSLER?"
"14" "Sei interessato a ricevere facoltativamente, utilizzando social media, messaggi specifici (news, corsi, scadenze, nuovi regolamenti, pubblicazioni) riguardanti IZSLER sul cellulare aziendale (o su..."
"15" "Se fai parte del CRAL sei disposto a fornire alla struttura Formazione, biblioteca, comunicazione informazioni su attività del CRAL(eventi, incontri, etc) per metterli a disposizione di tutti (int..."
"16" "Sei interessato a ricevere aggiornamenti bibliografici su argomenti dei quali ti occupi ?"
"17" "Quali strumenti consiglieresti per una migliore comunicazione interna al fine di sviluppare la conoscenza, la collaborazione e l’aumento delle competenze?"
